week_start_date,calendar_year,calendar_month,iso_year,iso_week,country,adm1_name,adm2_name,case_definition,dengue_cases
2000-01-02,2000,1,1999,52,Peru,Loreto,Maynas,Probable and confirmed,7
2000-01-09,2000,1,2000,1,Peru,Loreto,Maynas,Probable and confirmed,7
2000-01-16,2000,1,2000,2,Peru,Loreto,Maynas,Probable and confirmed,16
2000-01-23,2000,1,2000,3,Peru,Loreto,Maynas,Probable and confirmed,9
2000-01-30,2000,1,2000,4,Peru,Loreto,Maynas,Probable and confirmed,18
2000-02-06,2000,2,2000,5,Peru,Loreto,Maynas,Probable and confirmed,10
2000-02-13,2000,2,2000,6,Peru,Loreto,Maynas,Probable and confirmed,9
2000-02-20,2000,2,2000,7,Peru,Loreto,Maynas,Probable and confirmed,7
2000-02-27,2000,2,2000,8,Peru,Loreto,Maynas,Probable and confirmed,3
2000-03-05,2000,3,2000,9,Peru,Loreto,Maynas,Probable and confirmed,5
2000-03-12,2000,3,2000,10,Peru,Loreto,Maynas,Probable and confirmed,14
2000-03-19,2000,3,2000,11,Peru,Loreto,Maynas,Probable and confirmed,16
2000-03-26,2000,3,2000,12,Peru,Loreto,Maynas,Probable and confirmed,14
2000-04-02,2000,4,2000,13,Peru,Loreto,Maynas,Probable and confirmed,12
2000-04-09,2000,4,2000,14,Peru,Loreto,Maynas,Probable and confirmed,17
2000-04-16,2000,4,2000,15,Peru,Loreto,Maynas,Probable and confirmed,4
2000-04-23,2000,4,2000,16,Peru,Loreto,Maynas,Probable and confirmed,2
2000-05-07,2000,5,2000,18,Peru,Loreto,Maynas,Probable and confirmed,3
2000-05-14,2000,5,2000,19,Peru,Loreto,Maynas,Probable and confirmed,2
2000-05-21,2000,5,2000,20,Peru,Loreto,Maynas,Probable and confirmed,1
2000-05-28,2000,5,2000,21,Peru,Loreto,Maynas,Probable and confirmed,2
2000-06-04,2000,6,2000,22,Peru,Loreto,Maynas,Probable and confirmed,1
2000-06-18,2000,6,2000,24,Peru,Loreto,Maynas,Probable and confirmed,1
2000-07-02,2000,7,2000,26,Peru,Loreto,Maynas,Probable and confirmed,13
2000-07-16,2000,7,2000,28,Peru,Loreto,Maynas,Probable and confirmed,3
2000-07-23,2000,7,2000,29,Peru,Loreto,Maynas,Probable and confirmed,2
2000-07-30,2000,7,2000,30,Peru,Loreto,Maynas,Probable and confirmed,3
2000-08-06,2000,8,2000,31,Peru,Loreto,Maynas,Probable and confirmed,5
2000-08-13,2000,8,2000,32,Peru,Loreto,Maynas,Probable and confirmed,1
2000-08-20,2000,8,2000,33,Peru,Loreto,Maynas,Probable and confirmed,4
2000-08-27,2000,8,2000,34,Peru,Loreto,Maynas,Probable and confirmed,5
2000-09-03,2000,9,2000,35,Peru,Loreto,Maynas,Probable and confirmed,7
2000-09-10,2000,9,2000,36,Peru,Loreto,Maynas,Probable and confirmed,9
2000-09-17,2000,9,2000,37,Peru,Loreto,Maynas,Probable and confirmed,11
2000-09-24,2000,9,2000,38,Peru,Loreto,Maynas,Probable and confirmed,3
2000-10-01,2000,10,2000,39,Peru,Loreto,Maynas,Probable and confirmed,5
2000-10-08,2000,10,2000,40,Peru,Loreto,Maynas,Probable and confirmed,1
2000-10-15,2000,10,2000,41,Peru,Loreto,Maynas,Probable and confirmed,2
2000-10-22,2000,10,2000,42,Peru,Loreto,Maynas,Probable and confirmed,6
2000-10-29,2000,10,2000,43,Peru,Loreto,Maynas,Probable and confirmed,7
2000-11-05,2000,11,2000,44,Peru,Loreto,Maynas,Probable and confirmed,4
2000-11-12,2000,11,2000,45,Peru,Loreto,Maynas,Probable and confirmed,10
2000-11-19,2000,11,2000,46,Peru,Loreto,Maynas,Probable and confirmed,7
2000-11-26,2000,11,2000,47,Peru,Loreto,Maynas,Probable and confirmed,9
2000-12-03,2000,12,2000,48,Peru,Loreto,Maynas,Probable and confirmed,2
2000-12-10,2000,12,2000,49,Peru,Loreto,Maynas,Probable and confirmed,3
2000-12-17,2000,12,2000,50,Peru,Loreto,Maynas,Probable and confirmed,8
2000-12-24,2000,12,2000,51,Peru,Loreto,Maynas,Probable and confirmed,2
2000-12-31,2000,12,2000,52,Peru,Loreto,Maynas,Probable and confirmed,13
2001-01-07,2001,1,2001,1,Peru,Loreto,Maynas,Probable and confirmed,6
2001-01-14,2001,1,2001,2,Peru,Loreto,Maynas,Probable and confirmed,9
2001-01-21,2001,1,2001,3,Peru,Loreto,Maynas,Probable and confirmed,10
2001-01-28,2001,1,2001,4,Peru,Loreto,Maynas,Probable and confirmed,2
2001-02-04,2001,2,2001,5,Peru,Loreto,Maynas,Probable and confirmed,7
2001-02-11,2001,2,2001,6,Peru,Loreto,Maynas,Probable and confirmed,6
2001-02-18,2001,2,2001,7,Peru,Loreto,Maynas,Probable and confirmed,7
2001-02-25,2001,2,2001,8,Peru,Loreto,Maynas,Probable and confirmed,10
2001-03-04,2001,3,2001,9,Peru,Loreto,Maynas,Probable and confirmed,10
2001-03-11,2001,3,2001,10,Peru,Loreto,Maynas,Probable and confirmed,8
2001-03-18,2001,3,2001,11,Peru,Loreto,Maynas,Probable and confirmed,9
2001-03-25,2001,3,2001,12,Peru,Loreto,Maynas,Probable and confirmed,11
2001-04-01,2001,4,2001,13,Peru,Loreto,Maynas,Probable and confirmed,14
2001-04-08,2001,4,2001,14,Peru,Loreto,Maynas,Probable and confirmed,7
2001-04-15,2001,4,2001,15,Peru,Loreto,Maynas,Probable and confirmed,8
2001-04-22,2001,4,2001,16,Peru,Loreto,Maynas,Probable and confirmed,12
2001-04-29,2001,4,2001,17,Peru,Loreto,Maynas,Probable and confirmed,9
2001-05-06,2001,5,2001,18,Peru,Loreto,Maynas,Probable and confirmed,9
2001-05-13,2001,5,2001,19,Peru,Loreto,Maynas,Probable and confirmed,11
2001-05-20,2001,5,2001,20,Peru,Loreto,Maynas,Probable and confirmed,13
2001-05-27,2001,5,2001,21,Peru,Loreto,Maynas,Probable and confirmed,10
2001-06-03,2001,6,2001,22,Peru,Loreto,Maynas,Probable and confirmed,13
2001-06-10,2001,6,2001,23,Peru,Loreto,Maynas,Probable and confirmed,14
2001-06-17,2001,6,2001,24,Peru,Loreto,Maynas,Probable and confirmed,8
2001-06-24,2001,6,2001,25,Peru,Loreto,Maynas,Probable and confirmed,13
2001-07-01,2001,7,2001,26,Peru,Loreto,Maynas,Probable and confirmed,12
2001-07-08,2001,7,2001,27,Peru,Loreto,Maynas,Probable and confirmed,1
2001-07-15,2001,7,2001,28,Peru,Loreto,Maynas,Probable and confirmed,7
2001-07-22,2001,7,2001,29,Peru,Loreto,Maynas,Probable and confirmed,9
2001-07-29,2001,7,2001,30,Peru,Loreto,Maynas,Probable and confirmed,6
2001-08-05,2001,8,2001,31,Peru,Loreto,Maynas,Probable and confirmed,5
2001-08-12,2001,8,2001,32,Peru,Loreto,Maynas,Probable and confirmed,8
2001-08-19,2001,8,2001,33,Peru,Loreto,Maynas,Probable and confirmed,3
2001-08-26,2001,8,2001,34,Peru,Loreto,Maynas,Probable and confirmed,3
2001-09-02,2001,9,2001,35,Peru,Loreto,Maynas,Probable and confirmed,6
2001-09-09,2001,9,2001,36,Peru,Loreto,Maynas,Probable and confirmed,11
2001-09-16,2001,9,2001,37,Peru,Loreto,Maynas,Probable and confirmed,9
2001-09-23,2001,9,2001,38,Peru,Loreto,Maynas,Probable and confirmed,4
2001-09-30,2001,9,2001,39,Peru,Loreto,Maynas,Probable and confirmed,6
2001-10-07,2001,10,2001,40,Peru,Loreto,Maynas,Probable and confirmed,4
2001-10-14,2001,10,2001,41,Peru,Loreto,Maynas,Probable and confirmed,4
2001-10-21,2001,10,2001,42,Peru,Loreto,Maynas,Probable and confirmed,4
2001-10-28,2001,10,2001,43,Peru,Loreto,Maynas,Probable and confirmed,3
2001-11-04,2001,11,2001,44,Peru,Loreto,Maynas,Probable and confirmed,4
2001-11-11,2001,11,2001,45,Peru,Loreto,Maynas,Probable and confirmed,7
2001-11-18,2001,11,2001,46,Peru,Loreto,Maynas,Probable and confirmed,2
2001-11-25,2001,11,2001,47,Peru,Loreto,Maynas,Probable and confirmed,6
2001-12-02,2001,12,2001,48,Peru,Loreto,Maynas,Probable and confirmed,2
2001-12-09,2001,12,2001,49,Peru,Loreto,Maynas,Probable and confirmed,6
2001-12-16,2001,12,2001,50,Peru,Loreto,Maynas,Probable and confirmed,3
2001-12-23,2001,12,2001,51,Peru,Loreto,Maynas,Probable and confirmed,3
2001-12-30,2001,12,2001,52,Peru,Loreto,Maynas,Probable and confirmed,11
2002-01-06,2002,1,2002,1,Peru,Loreto,Maynas,Probable and confirmed,20
2002-01-13,2002,1,2002,2,Peru,Loreto,Maynas,Probable and confirmed,36
