adm_0_name,adm_1_name,adm_2_name,full_name,ISO_A0,FAO_GAUL_code,RNE_iso_code,IBGE_code,calendar_start_date,calendar_end_date,Year,dengue_total,case_definition_standardised,S_res,T_res,UUID,region
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,30/04/2000,06/05/2000,2000,21,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,07/05/2000,13/05/2000,2000,48,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,14/05/2000,20/05/2000,2000,93,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,21/05/2000,27/05/2000,2000,35,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,28/05/2000,03/06/2000,2000,30,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,04/06/2000,10/06/2000,2000,23,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,11/06/2000,17/06/2000,2000,11,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,18/06/2000,24/06/2000,2000,4,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,25/06/2000,01/07/2000,2000,1,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,02/07/2000,08/07/2000,2000,11,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,09/07/2000,15/07/2000,2000,2,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,16/07/2000,22/07/2000,2000,1,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,21/01/2001,27/01/2001,2001,1,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
