adm_1_name,observations,first_date,last_date,total_cases,mean_cases,median_cases,max_cases,zero_case_periods,missing_cases,gaul_codes,temporal_resolutions,zero_case_pct
AMAZONAS,260,2006-12-31,2013-12-10,2946,11.330769230769231,8.0,91,18,0,1,Week,6.923076923076923
ANCASH,260,2006-12-31,2013-12-10,1745,6.711538461538462,0.0,113,163,0,1,Week,62.69230769230769
CAJAMARCA,260,2006-12-31,2013-12-10,4716,18.138461538461538,1.0,363,124,0,1,Week,47.69230769230769
LIMA,260,2006-12-31,2013-12-10,791,3.042307692307692,0.0,73,146,0,1,Week,56.15384615384615
MADRE DE DIOS,260,2006-12-31,2013-12-10,7023,27.01153846153846,14.5,178,56,0,1,Week,21.53846153846154
LAMBAYEQUE,260,2006-12-31,2013-12-10,2298,8.838461538461539,2.0,272,86,0,1,Week,33.07692307692307
LA LIBERTAD,260,2006-12-31,2013-12-10,1994,7.6692307692307695,0.0,344,163,0,1,Week,62.69230769230769
JUNIN,260,2006-12-31,2013-12-10,2202,8.46923076923077,3.0,94,77,0,1,Week,29.615384615384617
HUANUCO,260,2006-12-31,2013-12-10,908,3.4923076923076923,2.0,76,81,0,1,Week,31.153846153846153
UCAYALI,260,2006-12-31,2013-12-10,14474,55.66923076923077,8.0,1490,12,0,1,Week,4.615384615384616
TUMBES,260,2006-12-31,2013-12-10,1880,7.230769230769231,3.0,66,54,0,1,Week,20.76923076923077
PUNO,260,2006-12-31,2013-12-10,8,0.03076923076923077,0.0,2,253,0,1,Week,97.3076923076923
SAN MARTIN,260,2006-12-31,2013-12-10,7528,28.953846153846154,14.0,260,11,0,1,Week,4.230769230769231
PIURA,260,2006-12-31,2013-12-10,6648,25.56923076923077,10.0,310,13,0,1,Week,5.0
PASCO,260,2006-12-31,2013-12-10,307,1.1807692307692308,0.0,37,172,0,1,Week,66.15384615384615
LORETO,259,2006-12-31,2013-12-10,41201,159.0772200772201,63.0,3128,2,0,1,Week,0.7722007722007722
CUSCO,226,2006-12-31,2013-12-10,69,0.3053097345132743,0.0,22,212,0,1,Week,93.80530973451327
CALLAO,182,2006-12-31,2013-12-10,4,0.02197802197802198,0.0,1,178,0,1,Week,97.8021978021978
APURIMAC,167,2006-12-31,2013-12-10,0,0.0,0.0,0,167,0,1,Week,100.0
AREQUIPA,156,2006-12-31,2013-12-10,0,0.0,0.0,0,156,0,1,Week,100.0
AYACUCHO,156,2006-12-31,2013-12-10,1,0.00641025641025641,0.0,1,155,0,1,Week,99.35897435897436
HUANCAVELICA,156,2006-12-31,2013-12-10,0,0.0,0.0,0,156,0,1,Week,100.0
ICA,156,2006-12-31,2013-12-10,1,0.00641025641025641,0.0,1,155,0,1,Week,99.35897435897436
MOQUEGUA,156,2006-12-31,2013-12-10,0,0.0,0.0,0,156,0,1,Week,100.0
TACNA,156,2006-12-31,2013-12-10,0,0.0,0.0,0,156,0,1,Week,100.0
