adm_1_name,expected_weeks,observed_weeks,missing_weeks,coverage_pct
AMAZONAS,365.0,260.0,105.0,71.23287671232876
ANCASH,365.0,260.0,105.0,71.23287671232876
CAJAMARCA,365.0,260.0,105.0,71.23287671232876
LIMA,365.0,260.0,105.0,71.23287671232876
MADRE DE DIOS,365.0,260.0,105.0,71.23287671232876
LAMBAYEQUE,365.0,260.0,105.0,71.23287671232876
LA LIBERTAD,365.0,260.0,105.0,71.23287671232876
JUNIN,365.0,260.0,105.0,71.23287671232876
HUANUCO,365.0,260.0,105.0,71.23287671232876
UCAYALI,365.0,260.0,105.0,71.23287671232876
TUMBES,365.0,260.0,105.0,71.23287671232876
PUNO,365.0,260.0,105.0,71.23287671232876
SAN MARTIN,365.0,260.0,105.0,71.23287671232876
PIURA,365.0,260.0,105.0,71.23287671232876
PASCO,365.0,260.0,105.0,71.23287671232876
LORETO,365.0,259.0,106.0,70.95890410958904
CUSCO,365.0,226.0,139.0,61.917808219178085
CALLAO,365.0,182.0,183.0,49.86301369863014
APURIMAC,365.0,167.0,198.0,45.75342465753425
AREQUIPA,365.0,156.0,209.0,42.73972602739726
AYACUCHO,365.0,156.0,209.0,42.73972602739726
HUANCAVELICA,365.0,156.0,209.0,42.73972602739726
ICA,365.0,156.0,209.0,42.73972602739726
MOQUEGUA,365.0,156.0,209.0,42.73972602739726
TACNA,365.0,156.0,209.0,42.73972602739726
