adm_1_name,observations,unique_weeks,first_week,last_week,total_cases,mean_cases,median_cases,max_cases,duplicate_week_rows
UCAYALI,260,260,2006-12-31,2013-12-22,14474,55.66923076923077,8.0,1490,0
SAN MARTIN,260,260,2006-12-31,2013-12-22,7528,28.953846153846154,14.0,260,0
MADRE DE DIOS,260,260,2006-12-31,2013-12-22,7023,27.01153846153846,14.5,178,0
PIURA,260,260,2006-12-31,2013-12-22,6648,25.56923076923077,10.0,310,0
CAJAMARCA,260,260,2006-12-31,2013-12-22,4716,18.138461538461538,1.0,363,0
AMAZONAS,260,260,2006-12-31,2013-12-22,2946,11.330769230769231,8.0,91,0
LAMBAYEQUE,260,260,2006-12-31,2013-12-22,2298,8.838461538461539,2.0,272,0
JUNIN,260,260,2006-12-31,2013-12-22,2202,8.46923076923077,3.0,94,0
LA LIBERTAD,260,260,2006-12-31,2013-12-22,1994,7.6692307692307695,0.0,344,0
TUMBES,260,260,2006-12-31,2013-12-22,1880,7.230769230769231,3.0,66,0
ANCASH,260,260,2006-12-31,2013-12-22,1745,6.711538461538462,0.0,113,0
HUANUCO,260,260,2006-12-31,2013-12-22,908,3.4923076923076923,2.0,76,0
LIMA,260,260,2006-12-31,2013-12-22,791,3.042307692307692,0.0,73,0
PASCO,260,260,2006-12-31,2013-12-22,307,1.1807692307692308,0.0,37,0
PUNO,260,260,2006-12-31,2013-12-22,8,0.03076923076923077,0.0,2,0
LORETO,259,259,2006-12-31,2013-12-22,41201,159.0772200772201,63.0,3128,0
CUSCO,226,226,2006-12-31,2013-12-22,69,0.3053097345132743,0.0,22,0
CALLAO,182,182,2006-12-31,2013-12-22,4,0.02197802197802198,0.0,1,0
APURIMAC,167,167,2006-12-31,2013-12-22,0,0.0,0.0,0,0
AYACUCHO,156,156,2006-12-31,2013-12-22,1,0.00641025641025641,0.0,1,0
ICA,156,156,2006-12-31,2013-12-22,1,0.00641025641025641,0.0,1,0
AREQUIPA,156,156,2006-12-31,2013-12-22,0,0.0,0.0,0,0
HUANCAVELICA,156,156,2006-12-31,2013-12-22,0,0.0,0.0,0,0
MOQUEGUA,156,156,2006-12-31,2013-12-22,0,0.0,0.0,0,0
TACNA,156,156,2006-12-31,2013-12-22,0,0.0,0.0,0,0
