adm_1_name,adm2_areas,observations,first_date,last_date,total_cases
SAN MARTIN,10,4487,2000-01-02,2023-12-08,33647
LORETO,8,4327,2000-01-02,2023-12-08,99019
PIURA,8,3485,2000-01-02,2023-12-08,205710
UCAYALI,4,2062,2000-01-09,2023-12-08,51878
TUMBES,3,1981,2000-01-02,2023-12-08,40204
AMAZONAS,6,1822,2000-04-09,2023-12-08,15288
MADRE DE DIOS,3,1809,2000-08-06,2023-12-08,32415
CAJAMARCA,12,1740,2000-02-27,2023-12-08,27052
JUNIN,4,1521,2000-05-14,2023-12-08,22779
HUANUCO,9,1408,2000-08-20,2023-12-08,11340
LAMBAYEQUE,3,1387,2000-12-31,2023-12-08,47073
LA LIBERTAD,9,1164,2000-04-30,2023-12-08,50879
ICA,5,953,2015-06-07,2023-12-08,38213
AYACUCHO,8,730,2013-01-06,2023-12-08,9584
CUSCO,5,539,2002-02-03,2023-12-08,13106
ANCASH,5,525,2001-03-25,2023-12-08,18872
LIMA,6,522,2001-08-26,2023-12-08,34990
PASCO,1,374,2002-03-03,2023-12-08,3119
PUNO,2,86,2011-03-20,2023-11-03,446
CALLAO,1,63,2017-05-14,2023-12-08,2382
AREQUIPA,2,5,2021-03-07,2021-10-04,7
MOQUEGUA,1,1,2018-12-09,,1
