source,filename_pattern,duplicate_rows,unique_duplicate_timestamps,unique_files,first_duplicate_timestamp,last_duplicate_timestamp,median_file_size_bytes
CFSR,ipvh06.gdas.20100126-20100131.grb2.nc.gz,24,24,1,2010-01-26 06:00:00,2010-02-01,7767.0
CFSR,ipvh06.gdas.20100326-20100331.grb2.nc.gz,24,24,1,2010-03-26 06:00:00,2010-04-01,7703.0
CFSR,ipvh06.gdas.20100526-20100531.grb2.nc.gz,24,24,1,2010-05-26 06:00:00,2010-06-01,7695.0
CFSR,ipvh06.gdas.20100726-20100731.grb2.nc.gz,24,24,1,2010-07-26 06:00:00,2010-08-01,7684.0
CFSR,ipvh06.gdas.20100826-20100831.grb2.nc.gz,24,24,1,2010-08-26 06:00:00,2010-09-01,7671.0
CFSR,ipvh06.gdas.20101026-20101031.grb2.nc.gz,24,24,1,2010-10-26 06:00:00,2010-11-01,7709.0
CFSR,ipvh06.gdas.20101226-20101231.grb2.nc.gz,24,24,1,2010-12-26 06:00:00,2011-01-01,7735.0
CFSR,pgbh06.gdas.20100126-20100131.grb2.nc.gz,24,24,1,2010-01-26 06:00:00,2010-02-01,5310.0
CFSR,pgbh06.gdas.20100326-20100331.grb2.nc.gz,24,24,1,2010-03-26 06:00:00,2010-04-01,5195.0
CFSR,pgbh06.gdas.20100526-20100531.grb2.nc.gz,24,24,1,2010-05-26 06:00:00,2010-06-01,5235.0
CFSR,pgbh06.gdas.20100726-20100731.grb2.nc.gz,24,24,1,2010-07-26 06:00:00,2010-08-01,5299.0
CFSR,pgbh06.gdas.20100826-20100831.grb2.nc.gz,24,24,1,2010-08-26 06:00:00,2010-09-01,5196.0
CFSR,pgbh06.gdas.20101026-20101031.grb2.nc.gz,24,24,1,2010-10-26 06:00:00,2010-11-01,5277.0
CFSR,pgbh06.gdas.20101226-20101231.grb2.nc.gz,24,24,1,2010-12-26 06:00:00,2011-01-01,5266.0
CFSR,ipvh06.gdas.20100101-20100105.grb2.nc.gz,20,20,1,2010-01-01 06:00:00,2010-01-06,6557.0
CFSR,ipvh06.gdas.20100106-20100110.grb2.nc.gz,20,20,1,2010-01-06 06:00:00,2010-01-11,6524.0
CFSR,ipvh06.gdas.20100111-20100115.grb2.nc.gz,20,20,1,2010-01-11 06:00:00,2010-01-16,6552.0
CFSR,ipvh06.gdas.20100116-20100120.grb2.nc.gz,20,20,1,2010-01-16 06:00:00,2010-01-21,6512.0
CFSR,ipvh06.gdas.20100121-20100125.grb2.nc.gz,20,20,1,2010-01-21 06:00:00,2010-01-26,6548.0
CFSR,ipvh06.gdas.20100201-20100205.grb2.nc.gz,20,20,1,2010-02-01 06:00:00,2010-02-06,6525.0
CFSR,ipvh06.gdas.20100206-20100210.grb2.nc.gz,20,20,1,2010-02-06 06:00:00,2010-02-11,6536.0
CFSR,ipvh06.gdas.20100211-20100215.grb2.nc.gz,20,20,1,2010-02-11 06:00:00,2010-02-16,6476.0
CFSR,ipvh06.gdas.20100216-20100220.grb2.nc.gz,20,20,1,2010-02-16 06:00:00,2010-02-21,6549.0
CFSR,ipvh06.gdas.20100221-20100225.grb2.nc.gz,20,20,1,2010-02-21 06:00:00,2010-02-26,6521.0
CFSR,ipvh06.gdas.20100301-20100305.grb2.nc.gz,20,20,1,2010-03-01 06:00:00,2010-03-06,6456.0
CFSR,ipvh06.gdas.20100306-20100310.grb2.nc.gz,20,20,1,2010-03-06 06:00:00,2010-03-11,6457.0
CFSR,ipvh06.gdas.20100311-20100315.grb2.nc.gz,20,20,1,2010-03-11 06:00:00,2010-03-16,6540.0
