source,filename,file_size_bytes,read_success,error,dimensions,time_count,first_time,last_time,duplicate_time_count,lat_min,lat_max,lat_resolutions,lon_min,lon_max,lon_resolutions,forecast_hours,data_variables
CFSR,pgbh06.gdas.19991226-19991231.grb2.nc.gz,1380,True,,time=1;lat=11;lon=11,1,2000-01-01 00:00:00,2000-01-01,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20000101-20000105.grb2.nc.gz,9723,True,,time=20;lat=11;lon=11,20,2000-01-01 06:00:00,2000-01-06,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20000106-20000110.grb2.nc.gz,9805,True,,time=20;lat=11;lon=11,20,2000-01-06 06:00:00,2000-01-11,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20000111-20000115.grb2.nc.gz,9845,True,,time=20;lat=11;lon=11,20,2000-01-11 06:00:00,2000-01-16,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20000116-20000120.grb2.nc.gz,9759,True,,time=20;lat=11;lon=11,20,2000-01-16 06:00:00,2000-01-21,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20000121-20000125.grb2.nc.gz,9667,True,,time=20;lat=11;lon=11,20,2000-01-21 06:00:00,2000-01-26,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20000126-20000131.grb2.nc.gz,11622,True,,time=24;lat=11;lon=11,24,2000-01-26 06:00:00,2000-02-01,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20000201-20000205.grb2.nc.gz,9733,True,,time=20;lat=11;lon=11,20,2000-02-01 06:00:00,2000-02-06,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20000206-20000210.grb2.nc.gz,9619,True,,time=20;lat=11;lon=11,20,2000-02-06 06:00:00,2000-02-11,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20000211-20000215.grb2.nc.gz,9811,True,,time=20;lat=11;lon=11,20,2000-02-11 06:00:00,2000-02-16,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20000216-20000220.grb2.nc.gz,9628,True,,time=20;lat=11;lon=11,20,2000-02-16 06:00:00,2000-02-21,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20000221-20000225.grb2.nc.gz,9542,True,,time=20;lat=11;lon=11,20,2000-02-21 06:00:00,2000-02-26,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20000226-20000229.grb2.nc.gz,7776,True,,time=16;lat=11;lon=11,16,2000-02-26 06:00:00,2000-03-01,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20000301-20000305.grb2.nc.gz,9585,True,,time=20;lat=11;lon=11,20,2000-03-01 06:00:00,2000-03-06,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20000306-20000310.grb2.nc.gz,9479,True,,time=20;lat=11;lon=11,20,2000-03-06 06:00:00,2000-03-11,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20000311-20000315.grb2.nc.gz,9602,True,,time=20;lat=11;lon=11,20,2000-03-11 06:00:00,2000-03-16,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20000316-20000320.grb2.nc.gz,9705,True,,time=20;lat=11;lon=11,20,2000-03-16 06:00:00,2000-03-21,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20000321-20000325.grb2.nc.gz,9578,True,,time=20;lat=11;lon=11,20,2000-03-21 06:00:00,2000-03-26,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20000326-20000331.grb2.nc.gz,11121,True,,time=24;lat=11;lon=11,24,2000-03-26 06:00:00,2000-04-01,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20000401-20000405.grb2.nc.gz,9312,True,,time=20;lat=11;lon=11,20,2000-04-01 06:00:00,2000-04-06,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20000406-20000410.grb2.nc.gz,9521,True,,time=20;lat=11;lon=11,20,2000-04-06 06:00:00,2000-04-11,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20000411-20000415.grb2.nc.gz,9413,True,,time=20;lat=11;lon=11,20,2000-04-11 06:00:00,2000-04-16,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20000416-20000420.grb2.nc.gz,9412,True,,time=20;lat=11;lon=11,20,2000-04-16 06:00:00,2000-04-21,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20000421-20000425.grb2.nc.gz,9517,True,,time=20;lat=11;lon=11,20,2000-04-21 06:00:00,2000-04-26,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20000426-20000430.grb2.nc.gz,9273,True,,time=20;lat=11;lon=11,20,2000-04-26 06:00:00,2000-05-01,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20000501-20000505.grb2.nc.gz,9435,True,,time=20;lat=11;lon=11,20,2000-05-01 06:00:00,2000-05-06,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20000506-20000510.grb2.nc.gz,9283,True,,time=20;lat=11;lon=11,20,2000-05-06 06:00:00,2000-05-11,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20000511-20000515.grb2.nc.gz,9300,True,,time=20;lat=11;lon=11,20,2000-05-11 06:00:00,2000-05-16,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
