missing_week,context_week,relative_position,weeks_from_gap,dengue_cases,calendar_year,calendar_month,iso_year,iso_week,case_definition
2000-04-30,2000-04-09,before,-3,17,2000,4,2000,14,Probable and confirmed
2000-04-30,2000-04-16,before,-2,4,2000,4,2000,15,Probable and confirmed
2000-04-30,2000-04-23,before,-1,2,2000,4,2000,16,Probable and confirmed
2000-04-30,2000-05-07,after,1,3,2000,5,2000,18,Probable and confirmed
2000-04-30,2000-05-14,after,2,2,2000,5,2000,19,Probable and confirmed
2000-04-30,2000-05-21,after,3,1,2000,5,2000,20,Probable and confirmed
2000-06-11,2000-05-21,before,-3,1,2000,5,2000,20,Probable and confirmed
2000-06-11,2000-05-28,before,-2,2,2000,5,2000,21,Probable and confirmed
2000-06-11,2000-06-04,before,-1,1,2000,6,2000,22,Probable and confirmed
2000-06-11,2000-06-18,after,1,1,2000,6,2000,24,Probable and confirmed
2000-06-11,2000-07-02,after,3,13,2000,7,2000,26,Probable and confirmed
2000-06-11,2000-07-16,after,5,3,2000,7,2000,28,Probable and confirmed
2000-06-25,2000-05-28,before,-4,2,2000,5,2000,21,Probable and confirmed
2000-06-25,2000-06-04,before,-3,1,2000,6,2000,22,Probable and confirmed
2000-06-25,2000-06-18,before,-1,1,2000,6,2000,24,Probable and confirmed
2000-06-25,2000-07-02,after,1,13,2000,7,2000,26,Probable and confirmed
2000-06-25,2000-07-16,after,3,3,2000,7,2000,28,Probable and confirmed
2000-06-25,2000-07-23,after,4,2,2000,7,2000,29,Probable and confirmed
2000-07-09,2000-06-04,before,-5,1,2000,6,2000,22,Probable and confirmed
2000-07-09,2000-06-18,before,-3,1,2000,6,2000,24,Probable and confirmed
2000-07-09,2000-07-02,before,-1,13,2000,7,2000,26,Probable and confirmed
2000-07-09,2000-07-16,after,1,3,2000,7,2000,28,Probable and confirmed
2000-07-09,2000-07-23,after,2,2,2000,7,2000,29,Probable and confirmed
2000-07-09,2000-07-30,after,3,3,2000,7,2000,30,Probable and confirmed
