adm_0_name,adm_1_name,adm_2_name,full_name,ISO_A0,FAO_GAUL_code,RNE_iso_code,IBGE_code,calendar_start_date,calendar_end_date,Year,dengue_total,case_definition_standardised,S_res,T_res,UUID,region
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,,2000-05-28,2000-03-06,2000,30,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,,2000-06-25,2000-01-07,2000,1,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,,2001-05-27,2001-02-06,2001,6,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,,2001-08-26,2001-01-09,2001,1,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,,2001-09-02,2001-08-09,2001,2,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,,2001-09-30,2001-06-10,2001,2,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,,2002-04-28,2002-04-05,2002,1,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,,2002-09-01,2002-07-09,2002,1,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,,2002-10-27,2002-02-11,2002,4,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,,2002-11-03,2002-09-11,2002,3,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,,2002-12-01,2002-07-12,2002,1,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
