year,ALTO AMAZONAS,DATEM DEL MARANON,LORETO,MARISCAL RAMON CASTILLA,MAYNAS,PUTUMAYO,REQUENA,UCAYALI
2000,38.0,0.0,4.0,2.0,49.0,2.0,2.0,9.0
2001,45.0,6.0,3.0,2.0,52.0,3.0,7.0,6.0
2002,18.0,4.0,19.0,11.0,52.0,1.0,13.0,17.0
2003,29.0,1.0,7.0,3.0,52.0,0.0,3.0,4.0
2004,35.0,2.0,14.0,4.0,52.0,5.0,11.0,3.0
2005,25.0,1.0,17.0,4.0,52.0,0.0,5.0,0.0
2006,48.0,11.0,18.0,7.0,53.0,1.0,11.0,4.0
2007,50.0,11.0,16.0,9.0,52.0,1.0,3.0,2.0
2008,45.0,14.0,23.0,10.0,52.0,10.0,14.0,2.0
2009,32.0,2.0,22.0,1.0,52.0,13.0,16.0,3.0
2010,50.0,11.0,8.0,0.0,52.0,8.0,3.0,0.0
2011,33.0,17.0,27.0,28.0,52.0,3.0,13.0,8.0
2012,49.0,26.0,19.0,14.0,53.0,7.0,20.0,21.0
2013,52.0,35.0,20.0,10.0,52.0,0.0,16.0,13.0
2014,47.0,25.0,29.0,7.0,52.0,3.0,29.0,13.0
2015,48.0,8.0,15.0,4.0,52.0,1.0,8.0,4.0
2016,38.0,10.0,22.0,5.0,52.0,2.0,14.0,0.0
2017,47.0,13.0,11.0,9.0,53.0,1.0,10.0,1.0
2018,45.0,11.0,41.0,9.0,52.0,1.0,23.0,23.0
2019,48.0,28.0,31.0,9.0,52.0,16.0,23.0,14.0
2020,48.0,21.0,34.0,37.0,52.0,10.0,36.0,38.0
2021,52.0,47.0,14.0,26.0,52.0,4.0,18.0,51.0
2022,52.0,39.0,43.0,48.0,52.0,26.0,49.0,52.0
2023,52.0,47.0,37.0,40.0,52.0,24.0,42.0,51.0
