year,adm_2_name,reported_weeks,cases
2000,ALTO AMAZONAS,38,187
2000,LORETO,4,5
2000,MARISCAL RAMON CASTILLA,2,2
2000,MAYNAS,49,325
2000,PUTUMAYO,2,2
2000,REQUENA,2,2
2000,UCAYALI,9,12
2001,ALTO AMAZONAS,45,85
2001,DATEM DEL MARANON,6,8
2001,LORETO,3,3
2001,MARISCAL RAMON CASTILLA,2,2
2001,MAYNAS,52,385
2001,PUTUMAYO,3,5
2001,REQUENA,7,7
2001,UCAYALI,6,11
2002,ALTO AMAZONAS,18,36
2002,DATEM DEL MARANON,4,4
2002,LORETO,19,35
2002,MARISCAL RAMON CASTILLA,11,17
2002,MAYNAS,52,2386
2002,PUTUMAYO,1,1
2002,REQUENA,13,17
2002,UCAYALI,17,32
2003,ALTO AMAZONAS,29,43
2003,DATEM DEL MARANON,1,1
2003,LORETO,7,21
2003,MARISCAL RAMON CASTILLA,3,3
2003,MAYNAS,52,667
2003,REQUENA,3,4
2003,UCAYALI,4,4
2004,ALTO AMAZONAS,35,127
2004,DATEM DEL MARANON,2,2
2004,LORETO,14,52
2004,MARISCAL RAMON CASTILLA,4,6
2004,MAYNAS,52,2347
2004,PUTUMAYO,5,5
2004,REQUENA,11,38
2004,UCAYALI,3,3
2005,ALTO AMAZONAS,25,141
2005,DATEM DEL MARANON,1,1
2005,LORETO,17,25
2005,MARISCAL RAMON CASTILLA,4,4
2005,MAYNAS,52,1596
2005,REQUENA,5,5
2006,ALTO AMAZONAS,48,320
2006,DATEM DEL MARANON,11,22
2006,LORETO,18,24
2006,MARISCAL RAMON CASTILLA,7,11
2006,MAYNAS,53,1638
2006,PUTUMAYO,1,1
2006,REQUENA,11,16
2006,UCAYALI,4,4
2007,ALTO AMAZONAS,50,513
2007,DATEM DEL MARANON,11,15
2007,LORETO,16,38
2007,MARISCAL RAMON CASTILLA,9,14
2007,MAYNAS,52,1186
2007,PUTUMAYO,1,1
2007,REQUENA,3,4
2007,UCAYALI,2,2
2008,ALTO AMAZONAS,45,377
2008,DATEM DEL MARANON,14,56
2008,LORETO,23,89
2008,MARISCAL RAMON CASTILLA,10,30
2008,MAYNAS,52,6529
2008,PUTUMAYO,10,26
2008,REQUENA,14,29
2008,UCAYALI,2,2
2009,ALTO AMAZONAS,32,119
2009,DATEM DEL MARANON,2,3
2009,LORETO,22,52
2009,MARISCAL RAMON CASTILLA,1,1
2009,MAYNAS,52,3326
2009,PUTUMAYO,13,90
2009,REQUENA,16,129
