column,dtype,missing_count,missing_pct,unique_non_null,constant,near_constant_95pct,infinite_count,range_rule_violations,numeric_min,numeric_max
week_start_date,datetime64[us],0,0.0,1248,False,False,0,,,
calendar_year,int64,0,0.0,24,False,False,0,,2000.0,2023.0
calendar_month,int64,0,0.0,12,False,False,0,,1.0,12.0
iso_year,int64,0,0.0,25,False,False,0,,1999.0,2023.0
iso_week,int64,0,0.0,53,False,False,0,,1.0,53.0
country,str,0,0.0,1,True,False,0,,,
adm1_name,str,0,0.0,1,True,False,0,,,
adm2_name,str,0,0.0,1,True,False,0,,,
case_definition,str,0,0.0,1,True,False,0,,,
dengue_cases,int64,0,0.0,204,False,False,0,0.0,1.0,2941.0
precip_sum_mm,float64,0,0.0,1248,False,False,0,0.0,0.3296,157.5585
precip_mean_daily_mm,float64,0,0.0,1248,False,False,0,0.0,0.0470857142857142,22.50835714285714
precip_max_daily_mm,float64,0,0.0,1246,False,False,0,0.0,0.2577,82.25320000000002
precip_min_daily_mm,float64,0,0.0,1130,False,False,0,0.0,0.0,11.0082
rain_days,float64,0,0.0,8,False,False,0,0.0,0.0,7.0
precip_calendar_days_present,int64,0,0.0,1,True,False,0,,7.0,7.0
precip_days_observed,int64,0,0.0,3,False,True,0,,4.0,7.0
precip_mean_valid_grid_cells,float64,0,0.0,3,False,True,0,,57.142857142857146,100.0
precip_rain_day_threshold_mm,float64,0,0.0,1,True,False,0,,1.0,1.0
precip_missing_days,int64,0,0.0,3,False,True,0,,0.0,3.0
precip_week_complete,bool,0,0.0,2,False,True,0,,,
temp_humidity_week_end_date,datetime64[us],0,0.0,1248,False,False,0,,,
temperature_c_mean,float64,0,0.0,1248,False,False,0,0.0,21.0753858964522,28.554440986717164
temperature_c_min,float64,0,0.0,1248,False,False,0,0.0,14.60524667593154,23.709576885516867
temperature_c_max,float64,0,0.0,1247,False,False,0,0.0,24.140114182692344,40.30299706092251
dewpoint_c_mean,float64,0,0.0,1248,False,False,0,0.0,16.54285721831272,24.84706054519823
dewpoint_c_min,float64,0,0.0,1177,False,False,0,0.0,11.43846341646639,23.39614962064303
dewpoint_c_max,float64,0,0.0,1164,False,False,0,0.0,18.92692072941708,28.230766648512656
relative_humidity_pct_mean,float64,0,0.0,1248,False,False,0,0.0,54.38406600270952,98.21950578165578
relative_humidity_pct_min,float64,0,0.0,1237,False,False,0,0.0,21.20769243973952,91.492307809683
relative_humidity_pct_max,float64,0,0.0,534,False,False,0,0.0,72.60384559631348,99.99615390484148
specific_humidity_kgkg_mean,float64,0,0.0,1248,False,False,0,0.0,0.0119476387300272,0.0199482403823512
specific_humidity_kgkg_min,float64,0,0.0,1247,False,False,0,0.0,0.0085542307486041,0.0182338844841489
specific_humidity_kgkg_max,float64,0,0.0,1248,False,False,0,0.0,0.013861269224435,0.0244378846568556
temp_humidity_observations_6hourly,int64,0,0.0,1,True,False,0,,28.0,28.0
temp_humidity_week_complete,bool,0,0.0,1,True,False,0,,,
wind_week_end_date,datetime64[us],0,0.0,1248,False,False,0,,,
u_wind_ms_mean,float64,0,0.0,1248,False,False,0,,-0.8401236265084123,0.8007829649844667
u_wind_ms_min,float64,0,0.0,1238,False,False,0,,-2.373846168701465,0.0999999996274709
u_wind_ms_max,float64,0,0.0,1240,False,False,0,,-0.1515384634526876,1.874230751624474
v_wind_ms_mean,float64,0,0.0,1248,False,False,0,,-1.1032142854848324,0.7171703295137447
v_wind_ms_min,float64,0,0.0,1238,False,False,0,,-3.0030769293124857,0.0896153857644933
v_wind_ms_max,float64,0,0.0,1244,False,False,0,,-0.1600000035161009,2.8576923241982093
wind_speed_ms_mean,float64,0,0.0,1248,False,False,0,0.0,0.468446378188651,1.439683284507519
wind_speed_ms_min,float64,0,0.0,1248,False,False,0,0.0,0.0068478815562794,0.7310600622413975
wind_speed_ms_max,float64,0,0.0,1248,False,False,0,0.0,0.918994166820234,3.110334469187156
wind_observations_6hourly,int64,0,0.0,1,True,False,0,,28.0,28.0
wind_week_complete,bool,0,0.0,1,True,False,0,,,
pressure_week_end_date,datetime64[us],0,0.0,1248,False,False,0,,,
surface_pressure_hpa_mean,float64,0,0.0,1238,False,False,0,0.0,988.690521978022,1001.1432692307692
surface_pressure_hpa_min,float64,0,0.0,966,False,False,0,0.0,985.9423076923076,998.6
surface_pressure_hpa_max,float64,0,0.0,929,False,False,0,0.0,991.1615384615384,1003.3884615384616
pressure_observations_6hourly,int64,0,0.0,1,True,False,0,,28.0,28.0
pressure_week_complete,bool,0,0.0,1,True,False,0,,,
ndvi_week_end_date,datetime64[us],0,0.0,1248,False,False,0,,,
ndvi_observation_date,datetime64[us],6,0.4807692307692308,549,False,False,0,,,
ndvi_age_days,float64,6,0.4807692307692308,16,False,False,0,0.0,0.0,15.0
ndvi_mean_weekly,float64,6,0.4807692307692308,549,False,False,0,0.0,0.7649075048527024,0.865224217190688
ndvi_median_weekly,float64,6,0.4807692307692308,549,False,False,0,0.0,0.7929216823614555,0.8946378443226524
ndvi_std_weekly,float64,6,0.4807692307692308,549,False,False,0,0.0,0.0759742538581792,0.1864574464787777
ndvi_min_weekly,float64,6,0.4807692307692308,35,False,False,0,0.0,-0.2,-0.0853
ndvi_max_weekly,float64,6,0.4807692307692308,31,False,False,0,0.0,0.9874,0.9996
valid_pixel_count,float64,6,0.4807692307692308,549,False,False,0,,14589.0,1225738.0
valid_pixel_fraction_of_max,float64,6,0.4807692307692308,549,False,False,0,,0.0119022172764489,1.0
low_valid_pixel_coverage,object,6,0.4807692307692308,2,False,True,0,,,
ndvi_available,bool,0,0.0,2,False,True,0,,,
ndvi_within_age_limit,bool,0,0.0,2,False,True,0,,,
ndvi_stale,bool,0,0.0,1,True,False,0,,,
modis_image_id,str,6,0.4807692307692308,549,False,False,0,,,
has_precipitation_data,bool,0,0.0,1,True,False,0,,,
has_temp_humidity_data,bool,0,0.0,1,True,False,0,,,
has_wind_data,bool,0,0.0,1,True,False,0,,,
has_pressure_data,bool,0,0.0,1,True,False,0,,,
has_ndvi_data,bool,0,0.0,2,False,True,0,,,
