split,period,week_start_date,dengue_cases,fullseries_threshold
A_2000_2017__2018_2020__2021_2023,train,2004-11-28,232.0,179.29999999999973
A_2000_2017__2018_2020__2021_2023,train,2004-12-05,317.0,179.29999999999973
A_2000_2017__2018_2020__2021_2023,train,2004-12-12,344.0,179.29999999999973
A_2000_2017__2018_2020__2021_2023,train,2004-12-19,184.0,179.29999999999973
A_2000_2017__2018_2020__2021_2023,train,2008-02-10,205.0,179.29999999999973
A_2000_2017__2018_2020__2021_2023,train,2008-02-17,264.0,179.29999999999973
A_2000_2017__2018_2020__2021_2023,train,2008-02-24,330.0,179.29999999999973
A_2000_2017__2018_2020__2021_2023,train,2008-03-02,240.0,179.29999999999973
A_2000_2017__2018_2020__2021_2023,train,2008-10-05,287.0,179.29999999999973
A_2000_2017__2018_2020__2021_2023,train,2008-10-12,366.0,179.29999999999973
A_2000_2017__2018_2020__2021_2023,train,2008-10-19,332.0,179.29999999999973
A_2000_2017__2018_2020__2021_2023,train,2008-10-26,316.0,179.29999999999973
A_2000_2017__2018_2020__2021_2023,train,2008-11-02,402.0,179.29999999999973
A_2000_2017__2018_2020__2021_2023,train,2008-11-09,318.0,179.29999999999973
A_2000_2017__2018_2020__2021_2023,train,2008-11-16,180.0,179.29999999999973
A_2000_2017__2018_2020__2021_2023,train,2008-11-23,246.0,179.29999999999973
A_2000_2017__2018_2020__2021_2023,train,2008-11-30,289.0,179.29999999999973
A_2000_2017__2018_2020__2021_2023,train,2008-12-07,267.0,179.29999999999973
A_2000_2017__2018_2020__2021_2023,train,2008-12-14,257.0,179.29999999999973
A_2000_2017__2018_2020__2021_2023,train,2008-12-21,290.0,179.29999999999973
A_2000_2017__2018_2020__2021_2023,train,2009-01-04,222.0,179.29999999999973
A_2000_2017__2018_2020__2021_2023,train,2009-01-11,240.0,179.29999999999973
A_2000_2017__2018_2020__2021_2023,train,2009-01-18,187.0,179.29999999999973
A_2000_2017__2018_2020__2021_2023,train,2009-01-25,213.0,179.29999999999973
A_2000_2017__2018_2020__2021_2023,train,2009-02-01,221.0,179.29999999999973
A_2000_2017__2018_2020__2021_2023,train,2009-02-08,201.0,179.29999999999973
A_2000_2017__2018_2020__2021_2023,train,2011-01-02,1133.0,179.29999999999973
A_2000_2017__2018_2020__2021_2023,train,2011-01-09,1944.0,179.29999999999973
A_2000_2017__2018_2020__2021_2023,train,2011-01-16,2941.0,179.29999999999973
A_2000_2017__2018_2020__2021_2023,train,2011-01-23,2404.0,179.29999999999973
A_2000_2017__2018_2020__2021_2023,train,2011-01-30,1830.0,179.29999999999973
A_2000_2017__2018_2020__2021_2023,train,2011-02-06,2517.0,179.29999999999973
A_2000_2017__2018_2020__2021_2023,train,2011-02-13,1197.0,179.29999999999973
A_2000_2017__2018_2020__2021_2023,train,2011-02-20,1379.0,179.29999999999973
A_2000_2017__2018_2020__2021_2023,train,2011-02-27,919.0,179.29999999999973
A_2000_2017__2018_2020__2021_2023,train,2011-03-06,733.0,179.29999999999973
A_2000_2017__2018_2020__2021_2023,train,2011-03-13,589.0,179.29999999999973
A_2000_2017__2018_2020__2021_2023,train,2011-03-20,449.0,179.29999999999973
A_2000_2017__2018_2020__2021_2023,train,2011-03-27,377.0,179.29999999999973
A_2000_2017__2018_2020__2021_2023,train,2011-04-03,205.0,179.29999999999973
A_2000_2017__2018_2020__2021_2023,train,2014-01-19,235.0,179.29999999999973
A_2000_2017__2018_2020__2021_2023,train,2014-01-26,209.0,179.29999999999973
A_2000_2017__2018_2020__2021_2023,train,2014-02-02,237.0,179.29999999999973
A_2000_2017__2018_2020__2021_2023,train,2014-02-09,269.0,179.29999999999973
A_2000_2017__2018_2020__2021_2023,train,2014-02-16,203.0,179.29999999999973
A_2000_2017__2018_2020__2021_2023,validation,2020-01-05,227.0,179.29999999999973
A_2000_2017__2018_2020__2021_2023,validation,2020-01-12,298.0,179.29999999999973
A_2000_2017__2018_2020__2021_2023,validation,2020-01-19,299.0,179.29999999999973
A_2000_2017__2018_2020__2021_2023,validation,2020-01-26,293.0,179.29999999999973
A_2000_2017__2018_2020__2021_2023,validation,2020-02-02,266.0,179.29999999999973
A_2000_2017__2018_2020__2021_2023,validation,2020-02-09,272.0,179.29999999999973
A_2000_2017__2018_2020__2021_2023,validation,2020-02-16,301.0,179.29999999999973
A_2000_2017__2018_2020__2021_2023,validation,2020-02-23,267.0,179.29999999999973
A_2000_2017__2018_2020__2021_2023,validation,2020-03-01,421.0,179.29999999999973
A_2000_2017__2018_2020__2021_2023,validation,2020-03-08,206.0,179.29999999999973
A_2000_2017__2018_2020__2021_2023,validation,2020-03-15,189.0,179.29999999999973
A_2000_2017__2018_2020__2021_2023,test,2022-03-27,184.0,179.29999999999973
