split,period,calendar_month,observations,total_cases,mean_cases,median_cases,max_cases
A_2000_2017__2018_2020__2021_2023,train,1,80,14477.0,180.9625,38.0,2941.0
A_2000_2017__2018_2020__2021_2023,train,2,73,10848.0,148.6027397260274,41.0,2517.0
A_2000_2017__2018_2020__2021_2023,train,3,79,6140.0,77.72151898734177,40.0,733.0
A_2000_2017__2018_2020__2021_2023,train,4,77,3644.0,47.324675324675326,26.0,205.0
A_2000_2017__2018_2020__2021_2023,train,5,79,2591.0,32.79746835443038,21.0,141.0
A_2000_2017__2018_2020__2021_2023,train,6,75,2103.0,28.04,16.0,109.0
A_2000_2017__2018_2020__2021_2023,train,7,80,1506.0,18.825,14.0,112.0
A_2000_2017__2018_2020__2021_2023,train,8,79,1191.0,15.075949367088608,12.0,51.0
A_2000_2017__2018_2020__2021_2023,train,9,77,1509.0,19.5974025974026,13.0,156.0
A_2000_2017__2018_2020__2021_2023,train,10,80,3030.0,37.875,19.5,366.0
A_2000_2017__2018_2020__2021_2023,train,11,77,4493.0,58.35064935064935,36.0,402.0
A_2000_2017__2018_2020__2021_2023,train,12,80,4464.0,55.8,30.0,344.0
A_2000_2017__2018_2020__2021_2023,validation,1,12,1270.0,105.83333333333333,23.5,299.0
A_2000_2017__2018_2020__2021_2023,validation,2,12,1266.0,105.5,25.5,301.0
A_2000_2017__2018_2020__2021_2023,validation,3,14,1199.0,85.64285714285714,29.5,421.0
A_2000_2017__2018_2020__2021_2023,validation,4,13,333.0,25.615384615384617,25.0,46.0
A_2000_2017__2018_2020__2021_2023,validation,5,13,184.0,14.153846153846153,11.0,43.0
A_2000_2017__2018_2020__2021_2023,validation,6,13,187.0,14.384615384615385,16.0,24.0
A_2000_2017__2018_2020__2021_2023,validation,7,13,205.0,15.76923076923077,12.0,44.0
A_2000_2017__2018_2020__2021_2023,validation,8,13,204.0,15.692307692307692,7.0,44.0
A_2000_2017__2018_2020__2021_2023,validation,9,14,304.0,21.714285714285715,5.5,78.0
A_2000_2017__2018_2020__2021_2023,validation,10,12,408.0,34.0,10.0,94.0
A_2000_2017__2018_2020__2021_2023,validation,11,13,564.0,43.38461538461539,51.0,103.0
A_2000_2017__2018_2020__2021_2023,validation,12,14,851.0,60.785714285714285,50.5,147.0
A_2000_2017__2018_2020__2021_2023,test,1,15,618.0,41.2,37.0,85.0
A_2000_2017__2018_2020__2021_2023,test,2,12,782.0,65.16666666666667,75.0,134.0
A_2000_2017__2018_2020__2021_2023,test,3,12,1119.0,93.25,111.0,184.0
A_2000_2017__2018_2020__2021_2023,test,4,13,1269.0,97.61538461538461,34.0,362.0
A_2000_2017__2018_2020__2021_2023,test,5,14,824.0,58.857142857142854,27.5,251.0
A_2000_2017__2018_2020__2021_2023,test,6,12,241.0,20.083333333333332,13.5,60.0
A_2000_2017__2018_2020__2021_2023,test,7,14,126.0,9.0,7.0,26.0
A_2000_2017__2018_2020__2021_2023,test,8,13,112.0,8.615384615384615,7.0,16.0
A_2000_2017__2018_2020__2021_2023,test,9,12,106.0,8.833333333333334,6.5,23.0
A_2000_2017__2018_2020__2021_2023,test,10,15,159.0,10.6,11.0,19.0
A_2000_2017__2018_2020__2021_2023,test,11,12,203.0,16.916666666666668,17.5,28.0
A_2000_2017__2018_2020__2021_2023,test,12,12,230.0,19.166666666666668,18.0,39.0
B_2000_2016__2017_2020__2021_2023,train,1,75,14379.0,191.72,40.0,2941.0
B_2000_2016__2017_2020__2021_2023,train,2,69,10799.0,156.5072463768116,45.0,2517.0
B_2000_2016__2017_2020__2021_2023,train,3,75,6115.0,81.53333333333333,43.0,733.0
B_2000_2016__2017_2020__2021_2023,train,4,72,3614.0,50.19444444444444,32.5,205.0
B_2000_2016__2017_2020__2021_2023,train,5,75,2555.0,34.06666666666667,23.0,141.0
B_2000_2016__2017_2020__2021_2023,train,6,71,2078.0,29.267605633802816,18.0,109.0
B_2000_2016__2017_2020__2021_2023,train,7,75,1479.0,19.72,16.0,112.0
B_2000_2016__2017_2020__2021_2023,train,8,75,1174.0,15.653333333333334,13.0,51.0
B_2000_2016__2017_2020__2021_2023,train,9,73,1471.0,20.15068493150685,14.0,156.0
B_2000_2016__2017_2020__2021_2023,train,10,75,2982.0,39.76,21.0,366.0
B_2000_2016__2017_2020__2021_2023,train,11,73,4234.0,58.0,32.0,402.0
B_2000_2016__2017_2020__2021_2023,train,12,75,4292.0,57.22666666666667,30.0,344.0
B_2000_2016__2017_2020__2021_2023,validation,1,17,1368.0,80.47058823529412,20.0,299.0
B_2000_2016__2017_2020__2021_2023,validation,2,16,1315.0,82.1875,20.0,301.0
B_2000_2016__2017_2020__2021_2023,validation,3,18,1224.0,68.0,28.0,421.0
B_2000_2016__2017_2020__2021_2023,validation,4,18,363.0,20.166666666666668,17.0,46.0
B_2000_2016__2017_2020__2021_2023,validation,5,17,220.0,12.941176470588236,11.0,43.0
B_2000_2016__2017_2020__2021_2023,validation,6,17,212.0,12.470588235294118,10.0,24.0
B_2000_2016__2017_2020__2021_2023,validation,7,18,232.0,12.88888888888889,9.5,44.0
B_2000_2016__2017_2020__2021_2023,validation,8,17,221.0,13.0,6.0,44.0
B_2000_2016__2017_2020__2021_2023,validation,9,18,342.0,19.0,6.5,78.0
B_2000_2016__2017_2020__2021_2023,validation,10,17,456.0,26.823529411764707,9.0,94.0
B_2000_2016__2017_2020__2021_2023,validation,11,17,823.0,48.411764705882355,56.0,103.0
B_2000_2016__2017_2020__2021_2023,validation,12,19,1023.0,53.8421052631579,41.0,147.0
B_2000_2016__2017_2020__2021_2023,test,1,15,618.0,41.2,37.0,85.0
B_2000_2016__2017_2020__2021_2023,test,2,12,782.0,65.16666666666667,75.0,134.0
B_2000_2016__2017_2020__2021_2023,test,3,12,1119.0,93.25,111.0,184.0
B_2000_2016__2017_2020__2021_2023,test,4,13,1269.0,97.61538461538461,34.0,362.0
B_2000_2016__2017_2020__2021_2023,test,5,14,824.0,58.857142857142854,27.5,251.0
B_2000_2016__2017_2020__2021_2023,test,6,12,241.0,20.083333333333332,13.5,60.0
B_2000_2016__2017_2020__2021_2023,test,7,14,126.0,9.0,7.0,26.0
B_2000_2016__2017_2020__2021_2023,test,8,13,112.0,8.615384615384615,7.0,16.0
B_2000_2016__2017_2020__2021_2023,test,9,12,106.0,8.833333333333334,6.5,23.0
B_2000_2016__2017_2020__2021_2023,test,10,15,159.0,10.6,11.0,19.0
B_2000_2016__2017_2020__2021_2023,test,11,12,203.0,16.916666666666668,17.5,28.0
B_2000_2016__2017_2020__2021_2023,test,12,12,230.0,19.166666666666668,18.0,39.0
C_2000_2018__2019_2020__2021_2023,train,1,84,14545.0,173.1547619047619,36.0,2941.0
C_2000_2018__2019_2020__2021_2023,train,2,77,10950.0,142.2077922077922,39.0,2517.0
C_2000_2018__2019_2020__2021_2023,train,3,83,6250.0,75.3012048192771,38.0,733.0
C_2000_2018__2019_2020__2021_2023,train,4,82,3829.0,46.69512195121951,32.0,205.0
C_2000_2018__2019_2020__2021_2023,train,5,83,2698.0,32.506024096385545,21.0,141.0
C_2000_2018__2019_2020__2021_2023,train,6,79,2184.0,27.645569620253166,17.0,109.0
C_2000_2018__2019_2020__2021_2023,train,7,85,1558.0,18.32941176470588,13.0,112.0
C_2000_2018__2019_2020__2021_2023,train,8,83,1215.0,14.63855421686747,11.0,51.0
C_2000_2018__2019_2020__2021_2023,train,9,82,1531.0,18.670731707317074,12.5,156.0
C_2000_2018__2019_2020__2021_2023,train,10,84,3069.0,36.535714285714285,19.0,366.0
C_2000_2018__2019_2020__2021_2023,train,11,81,4519.0,55.79012345679013,32.0,402.0
C_2000_2018__2019_2020__2021_2023,train,12,85,4504.0,52.98823529411764,27.0,344.0
C_2000_2018__2019_2020__2021_2023,validation,1,8,1202.0,150.25,127.0,299.0
C_2000_2018__2019_2020__2021_2023,validation,2,8,1164.0,145.5,142.0,301.0
C_2000_2018__2019_2020__2021_2023,validation,3,10,1089.0,108.9,34.0,421.0
C_2000_2018__2019_2020__2021_2023,validation,4,8,148.0,18.5,17.0,31.0
C_2000_2018__2019_2020__2021_2023,validation,5,9,77.0,8.555555555555555,8.0,13.0
C_2000_2018__2019_2020__2021_2023,validation,6,9,106.0,11.777777777777779,6.0,24.0
C_2000_2018__2019_2020__2021_2023,validation,7,8,153.0,19.125,13.0,44.0
C_2000_2018__2019_2020__2021_2023,validation,8,9,180.0,20.0,27.0,44.0
C_2000_2018__2019_2020__2021_2023,validation,9,9,282.0,31.333333333333332,6.0,78.0
C_2000_2018__2019_2020__2021_2023,validation,10,8,369.0,46.125,43.5,94.0
C_2000_2018__2019_2020__2021_2023,validation,11,9,538.0,59.77777777777778,60.0,103.0
C_2000_2018__2019_2020__2021_2023,validation,12,9,811.0,90.11111111111111,95.0,147.0
C_2000_2018__2019_2020__2021_2023,test,1,15,618.0,41.2,37.0,85.0
C_2000_2018__2019_2020__2021_2023,test,2,12,782.0,65.16666666666667,75.0,134.0
C_2000_2018__2019_2020__2021_2023,test,3,12,1119.0,93.25,111.0,184.0
C_2000_2018__2019_2020__2021_2023,test,4,13,1269.0,97.61538461538461,34.0,362.0
C_2000_2018__2019_2020__2021_2023,test,5,14,824.0,58.857142857142854,27.5,251.0
C_2000_2018__2019_2020__2021_2023,test,6,12,241.0,20.083333333333332,13.5,60.0
C_2000_2018__2019_2020__2021_2023,test,7,14,126.0,9.0,7.0,26.0
C_2000_2018__2019_2020__2021_2023,test,8,13,112.0,8.615384615384615,7.0,16.0
C_2000_2018__2019_2020__2021_2023,test,9,12,106.0,8.833333333333334,6.5,23.0
C_2000_2018__2019_2020__2021_2023,test,10,15,159.0,10.6,11.0,19.0
C_2000_2018__2019_2020__2021_2023,test,11,12,203.0,16.916666666666668,17.5,28.0
C_2000_2018__2019_2020__2021_2023,test,12,12,230.0,19.166666666666668,18.0,39.0
