split,period,calendar_year,observations,total_cases,mean_cases,median_cases,max_cases
A_2000_2017__2018_2020__2021_2023,train,2000,49,325.0,6.63265306122449,5.0,18.0
A_2000_2017__2018_2020__2021_2023,train,2001,52,385.0,7.403846153846154,7.0,14.0
A_2000_2017__2018_2020__2021_2023,train,2002,52,2386.0,45.88461538461539,36.5,163.0
A_2000_2017__2018_2020__2021_2023,train,2003,52,667.0,12.826923076923077,11.5,38.0
A_2000_2017__2018_2020__2021_2023,train,2004,52,2347.0,45.13461538461539,21.5,344.0
A_2000_2017__2018_2020__2021_2023,train,2005,52,1596.0,30.692307692307693,30.0,64.0
A_2000_2017__2018_2020__2021_2023,train,2006,53,1638.0,30.90566037735849,19.0,117.0
A_2000_2017__2018_2020__2021_2023,train,2007,52,1186.0,22.807692307692307,19.5,88.0
A_2000_2017__2018_2020__2021_2023,train,2008,52,6529.0,125.5576923076923,76.5,402.0
A_2000_2017__2018_2020__2021_2023,train,2009,52,3326.0,63.96153846153846,41.0,240.0
A_2000_2017__2018_2020__2021_2023,train,2010,52,800.0,15.384615384615385,9.0,136.0
A_2000_2017__2018_2020__2021_2023,train,2011,52,19861.0,381.9423076923077,34.0,2941.0
A_2000_2017__2018_2020__2021_2023,train,2012,53,3563.0,67.22641509433963,64.0,158.0
A_2000_2017__2018_2020__2021_2023,train,2013,52,3406.0,65.5,62.0,132.0
A_2000_2017__2018_2020__2021_2023,train,2014,52,4643.0,89.28846153846153,78.0,269.0
A_2000_2017__2018_2020__2021_2023,train,2015,52,1043.0,20.057692307692307,12.0,76.0
A_2000_2017__2018_2020__2021_2023,train,2016,52,1471.0,28.28846153846154,22.0,87.0
A_2000_2017__2018_2020__2021_2023,train,2017,53,824.0,15.547169811320755,8.0,76.0
A_2000_2017__2018_2020__2021_2023,validation,2018,52,856.0,16.46153846153846,12.5,46.0
A_2000_2017__2018_2020__2021_2023,validation,2019,52,1266.0,24.346153846153847,11.0,147.0
A_2000_2017__2018_2020__2021_2023,validation,2020,52,4853.0,93.32692307692308,52.5,421.0
A_2000_2017__2018_2020__2021_2023,test,2021,52,722.0,13.884615384615385,8.0,85.0
A_2000_2017__2018_2020__2021_2023,test,2022,52,3311.0,63.67307692307692,22.5,362.0
A_2000_2017__2018_2020__2021_2023,test,2023,52,1756.0,33.76923076923077,21.0,146.0
B_2000_2016__2017_2020__2021_2023,train,2000,49,325.0,6.63265306122449,5.0,18.0
B_2000_2016__2017_2020__2021_2023,train,2001,52,385.0,7.403846153846154,7.0,14.0
B_2000_2016__2017_2020__2021_2023,train,2002,52,2386.0,45.88461538461539,36.5,163.0
B_2000_2016__2017_2020__2021_2023,train,2003,52,667.0,12.826923076923077,11.5,38.0
B_2000_2016__2017_2020__2021_2023,train,2004,52,2347.0,45.13461538461539,21.5,344.0
B_2000_2016__2017_2020__2021_2023,train,2005,52,1596.0,30.692307692307693,30.0,64.0
B_2000_2016__2017_2020__2021_2023,train,2006,53,1638.0,30.90566037735849,19.0,117.0
B_2000_2016__2017_2020__2021_2023,train,2007,52,1186.0,22.807692307692307,19.5,88.0
B_2000_2016__2017_2020__2021_2023,train,2008,52,6529.0,125.5576923076923,76.5,402.0
B_2000_2016__2017_2020__2021_2023,train,2009,52,3326.0,63.96153846153846,41.0,240.0
B_2000_2016__2017_2020__2021_2023,train,2010,52,800.0,15.384615384615385,9.0,136.0
B_2000_2016__2017_2020__2021_2023,train,2011,52,19861.0,381.9423076923077,34.0,2941.0
B_2000_2016__2017_2020__2021_2023,train,2012,53,3563.0,67.22641509433963,64.0,158.0
B_2000_2016__2017_2020__2021_2023,train,2013,52,3406.0,65.5,62.0,132.0
B_2000_2016__2017_2020__2021_2023,train,2014,52,4643.0,89.28846153846153,78.0,269.0
