date,days_since_previous,modis_image_id
2001-01-01,14.0,2001_01_01
2002-01-01,13.0,2002_01_01
2003-01-01,13.0,2003_01_01
2004-01-01,13.0,2004_01_01
2005-01-01,14.0,2005_01_01
2006-01-01,13.0,2006_01_01
2007-01-01,13.0,2007_01_01
2008-01-01,13.0,2008_01_01
2009-01-01,14.0,2009_01_01
2010-01-01,13.0,2010_01_01
2011-01-01,13.0,2011_01_01
2012-01-01,13.0,2012_01_01
2013-01-01,14.0,2013_01_01
2014-01-01,13.0,2014_01_01
2015-01-01,13.0,2015_01_01
2016-01-01,13.0,2016_01_01
2017-01-01,14.0,2017_01_01
2018-01-01,13.0,2018_01_01
2019-01-01,13.0,2019_01_01
2020-01-01,13.0,2020_01_01
2021-01-01,14.0,2021_01_01
2022-01-01,13.0,2022_01_01
2023-01-01,13.0,2023_01_01
