adm_0_name,adm_1_name,adm_2_name,full_name,ISO_A0,FAO_GAUL_code,RNE_iso_code,IBGE_code,calendar_start_date,calendar_end_date,Year,dengue_total,case_definition_standardised,S_res,T_res,UUID,region
PERU,LORETO,MAYNAS,"PERU, LORETO, MAYNAS",PER,1011897,PE-LOR,,2000-10-08,,2000,1,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,LORETO,PUTUMAYO,"PERU, LORETO, PUTUMAYO",PER,1011897,PE-LOR,,2000-10-08,,2000,1,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,LORETO,MAYNAS,"PERU, LORETO, MAYNAS",PER,1011897,PE-LOR,,2000-10-15,,2000,2,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,LORETO,PUTUMAYO,"PERU, LORETO, PUTUMAYO",PER,1011897,PE-LOR,,2000-10-15,,2000,1,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,LORETO,MAYNAS,"PERU, LORETO, MAYNAS",PER,1011897,PE-LOR,,2001-09-09,,2001,11,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,LORETO,PUTUMAYO,"PERU, LORETO, PUTUMAYO",PER,1011897,PE-LOR,,2001-09-09,,2001,3,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,LORETO,MAYNAS,"PERU, LORETO, MAYNAS",PER,1011897,PE-LOR,,2001-12-09,,2001,6,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,LORETO,PUTUMAYO,"PERU, LORETO, PUTUMAYO",PER,1011897,PE-LOR,,2001-12-09,,2001,1,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,LORETO,MAYNAS,"PERU, LORETO, MAYNAS",PER,1011897,PE-LOR,,2001-12-16,,2001,3,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,LORETO,PUTUMAYO,"PERU, LORETO, PUTUMAYO",PER,1011897,PE-LOR,,2001-12-16,,2001,1,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
