calendar_year,total_cases,mean_weekly_cases,median_weekly_cases,max_weekly_cases,observed_weeks
2000,325,6.63265306122449,5.0,18,49
2001,385,7.403846153846154,7.0,14,52
2002,2386,45.88461538461539,36.5,163,52
2003,667,12.826923076923077,11.5,38,52
2004,2347,45.13461538461539,21.5,344,52
2005,1596,30.692307692307693,30.0,64,52
2006,1638,30.90566037735849,19.0,117,53
2007,1186,22.807692307692307,19.5,88,52
2008,6529,125.5576923076923,76.5,402,52
2009,3326,63.96153846153846,41.0,240,52
2010,800,15.384615384615385,9.0,136,52
2011,19861,381.9423076923077,34.0,2941,52
2012,3563,67.22641509433963,64.0,158,53
2013,3406,65.5,62.0,132,52
2014,4643,89.28846153846153,78.0,269,52
2015,1043,20.057692307692307,12.0,76,52
2016,1471,28.28846153846154,22.0,87,52
2017,824,15.547169811320755,8.0,76,53
2018,856,16.46153846153846,12.5,46,52
2019,1266,24.346153846153847,11.0,147,52
2020,4853,93.32692307692308,52.5,421,52
2021,722,13.884615384615385,8.0,85,52
2022,3311,63.67307692307692,22.5,362,52
2023,1756,33.76923076923077,21.0,146,52
