lag_weeks,paired_weeks,pearson_r,spearman_rho
1,1243,0.9128351455080197,0.9020784848284393
2,1244,0.8247221790132531,0.8517893428273314
3,1241,0.7010911274651987,0.8050593055740594
4,1241,0.5658168784273704,0.7604764571313514
5,1239,0.46030857357792715,0.7169164383880091
6,1239,0.3482990842177418,0.6644133486755582
7,1237,0.2736099207867831,0.6213338434958449
8,1237,0.2021574930577023,0.5780100379383736
9,1235,0.1496488662910108,0.527765586518767
10,1235,0.10698310623218885,0.4787333608769823
11,1233,0.06959862438775966,0.4336027943472233
12,1232,0.042564737447282786,0.39708200272489075
13,1231,0.022038559456450765,0.34970605657272386
14,1230,0.007166070637653172,0.29943013024074566
15,1229,-0.004199854856608262,0.2491138920424725
16,1228,-0.013742174853557134,0.20162019111529286
