feature,pearson_r,spearman_rho,abs_spearman
specific_humidity_kgkg_mean,0.11331653567996494,0.33982643615813907,0.33982643615813907
dewpoint_c_mean,0.10977504428980688,0.3380486497156319,0.3380486497156319
relative_humidity_pct_mean,0.07144171006991962,0.28389426697208925,0.28389426697208925
surface_pressure_hpa_mean,-0.16739138336239548,-0.27693905892639203,0.27693905892639203
temperature_c_min,0.10584768818476198,0.2415378575336692,0.2415378575336692
temperature_c_max,-0.04739630588677726,-0.2001192149754847,0.2001192149754847
precip_sum_mm,-0.0014071090612481267,0.1412224157571237,0.1412224157571237
wind_speed_ms_max,0.09379905910402364,0.11510816785640811,0.11510816785640811
ndvi_mean_weekly,-0.08529281825786081,-0.1043424260284927,0.1043424260284927
precip_max_daily_mm,-0.01394408015260049,0.09620464514550621,0.09620464514550621
rain_days,0.05600440778812815,0.09463673449623541,0.09463673449623541
wind_speed_ms_mean,0.052106024299381645,-0.06732926338700651,0.06732926338700651
ndvi_median_weekly,-0.12630463062402625,-0.05867728317547708,0.05867728317547708
temperature_c_mean,0.03249082170310276,-0.0036460917819330116,0.0036460917819330116
