feature,importance
dengue_cases_lag1,0.62643105
week_sin,0.094436035
precip_sum_mm_lag4,0.06924305
temperature_c_mean_lag1,0.05373784
wind_speed_ms_mean_lag12,0.035199754
surface_pressure_hpa_mean_lag8,0.030174421
wind_speed_ms_mean_prev4w_mean,0.0244672
precip_sum_mm_prev4w_sum,0.015558778
week_cos,0.010480484
wind_speed_ms_mean_lag1,0.006411565
surface_pressure_hpa_mean_lag1,0.0053415145
dengue_cases_lag4,0.00453581
dengue_cases_lag2,0.004376124
temperature_c_mean_lag8,0.004060704
precip_sum_mm_lag1,0.0034403158
dengue_cases_lag8,0.003276723
surface_pressure_hpa_mean_prev4w_mean,0.0028902192
ndvi_mean_weekly_lag12,0.0022792493
temperature_c_mean_prev4w_mean,0.0016669283
specific_humidity_kgkg_mean_lag1,0.0011620584
ndvi_mean_weekly_lag1,0.0008302214
relative_humidity_pct_mean_prev4w_mean,0.0
ndvi_mean_weekly_prev4w_mean,0.0
