parameter,coefficient,p_value,abs_coefficient
intercept,2.7212830560811265,0.9958252525679294,2.7212830560811265
precip_sum_mm_lag1,-0.2778655846325341,0.21538767802028969,0.2778655846325341
precip_sum_mm_prev4w_sum,-0.0711907617892277,0.6929958384597031,0.0711907617892277
temperature_c_mean_lag1,-6.670513603708146,0.4815017178849623,6.670513603708146
specific_humidity_kgkg_mean_lag1,27670.28766717808,4.507762158414913e-06,27670.28766717808
relative_humidity_pct_mean_prev4w_mean,-3.3622175058512207,0.3320600409431679,3.3622175058512207
wind_speed_ms_mean_lag1,9.901374764154918,0.7608664103753735,9.901374764154918
surface_pressure_hpa_mean_lag8,0.4153559687376637,0.9387754090391492,0.4153559687376637
ndvi_mean_weekly_lag1,-429.7360664587482,0.281052243076373,429.7360664587482
ar.L1,0.9052837063349863,0.0,0.9052837063349863
ar.S.L52,0.0017503026819335142,0.9864219621111316,0.0017503026819335142
sigma2,7139.086013604487,0.0,7139.086013604487
